97,69;111,07;124,46;137,85;151,37;164,89;178,43;191,95;205,47;240,59;280,01;293,53;307,07;320,59;334,11;347,65;361,50;375,14;388,80;402,44;416,08;429,74;443,38;457,04;470,69;484,33;497,99;511,68;525,33;539,00;552,68;566,35;580,00;593,69;607,36;621,02;634,69;648,36;662,03;675,69;689,38;703,03;716,71;730,38;744,05;757,71
100,17;114,00;127,84;141,67;155,64;169,62;183,59;219,15;233,13;247,10;286,96;300,94;314,91;328,88;342,86;356,83;371,14;385,26;399,35;413,43;427,54;441,62;455,71;469,81;483,90;497,99;512,09;526,21;540,31;554,45;568,56;582,67;596,80;610,90;625,02;639,12;653,26;667,36;681,48;695,59;709,71;723,82;737,95;752,05;766,17;780,29
124,25;138,53;152,80;167,08;181,51;195,93;210,34;224,77;239,18;279,49;293,92;308,33;322,75;337,18;351,59;366,01;380,81;395,34;409,88;424,43;438,96;453,50;468,06;482,59;497,13;511,68;526,21;540,74;555,32;569,87;584,44;599,00;613,57;628,11;642,68;657,24;671,81;686,36;700,93;715,48;730,05;744,61;759,18;773,73;788,30;802,87
126,75;141,47;156,20;170,92;185,78;200,64;215,52;230,38;245,24;286,01;300,87;315,73;330,61;345,46;360,33;375,20;390,45;405,45;420,44;435,42;450,40;465,40;480,38;495,36;510,35;525,33;540,31;555,32;570,30;585,30;600,32;615,32;630,33;645,33;660,35;675,35;690,36;705,37;720,38;735,37;750,40;765,41;780,40;795,43;810,42;825,43
129,23;144,41;159,58;174,75;190,06;205,38;220,68;235,99;277,20;292,51;307,82;323,14;338,45;353,75;369,07;384,38;400,11;415,55;430,97;446,40;461,84;477,28;492,71;508,15;523,58;539,00;554,45;569,87;585,30;600,74;616,20;631,64;647,10;662,55;678,01;693,45;708,92;724,38;739,82;755,29;770,73;786,19;801,65;817,10;832,54;848,01
131,72;147,34;162,95;178,57;194,34;210,09;225,85;241,61;283,26;299,01;314,78;330,53;346,29;362,05;377,81;393,56;409,78;425,65;441,52;457,41;473,28;489,16;505,04;520,92;536,79;552,68;568,56;584,44;600,32;616,20;632,07;647,96;663,88;679,78;695,67;711,58;727,47;743,37;759,28;775,18;791,07;806,98;822,87;838,78;854,68;870,58
134,22;150,28;166,35;182,41;198,61;214,81;256,92;273,12;289,32;305,53;321,73;337,93;354,14;370,34;386,54;402,75;419,42;435,74;452,07;468,39;484,71;501,06;517,38;533,70;550,03;566,35;582,67;599,00;615,32;631,64;647,96;664,31;680,64;696,99;713,34;729,69;746,02;762,39;778,72;795,07;811,42;827,77;844,10;860,46;876,80;893,15
162,60;179,11;195,62;212,13;228,78;245,44;262,08;278,73;295,39;312,03;328,68;345,34;361,98;378,63;395,29;411,93;429,07;445,85;462,62;479,38;496,16;512,93;529,69;546,47;563,24;580,00;596,80;613,57;630,33;647,10;663,88;680,64;697,41;714,22;731,00;747,79;764,59;781,38;798,16;814,97;831,75;848,55;865,34;882,14;898,93;915,73
165,09;182,04;199,00;215,96;233,06;250,15;267,24;284,35;301,44;318,53;335,64;352,73;369,82;386,93;404,02;421,11;438,73;455,94;473,15;490,38;507,60;524,82;542,04;559,25;576,46;593,69;610,90;628,11;645,33;662,55;679,78;696,99;714,22;731,43;748,65;765,91;783,14;800,38;817,62;834,86;852,10;869,34;886,59;903,81;921,07;938,29
167,59;184,99;202,39;219,79;237,33;254,87;272,42;289,96;307,50;325,05;342,59;360,13;377,68;395,22;412,75;430,31;448,38;466,04;483,71;501,37;519,03;536,70;554,36;572,02;589,69;607,36;625,02;642,68;660,35;678,01;695,67;713,34;731,00;748,65;766,33;784,01;801,69;819,39;837,08;854,75;872,45;890,12;907,81;925,50;943,19;960,86
